"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2005","2005","Female","F","55-64 years","55-64",1657,15868410,10.4,9.9,10.9,0.3,0.4%
,"2005","2005","Female","F","65-74 years","65-74",2042,10198569,20.0,19.2,20.9,0.4,0.5%
,"2005","2005","Female","F","75-84 years","75-84",2166,7753835,27.9,26.8,29.1,0.6,0.5%
,"2005","2005","Female","F","85+ years","85+",975,3249455,30.0,28.1,31.9,1.0,0.2%
,"2005","2005","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2005","2005","Male","M","< 1 year","1",Suppressed,2047711,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2005","2005","Male","M","1-4 years","1-4",19,8127884,Unreliable,0.1,0.4,0.1,0.0%
,"2005","2005","Male","M","5-14 years","5-14",39,20779364,0.2,0.1,0.3,0.0,0.0%
,"2005","2005","Male","M","15-24 years","15-24",96,21788574,0.4,0.4,0.5,0.0,0.0%
,"2005","2005","Male","M","25-34 years","25-34",111,19710949,0.6,0.5,0.7,0.1,0.0%
,"2005","2005","Male","M","35-44 years","35-44",281,21640195,1.3,1.1,1.5,0.1,0.1%
,"2005","2005","Male","M","45-54 years","45-54",870,20881375,4.2,3.9,4.4,0.1,0.2%
,"2005","2005","Male","M","55-64 years","55-64",1998,14773087,13.5,12.9,14.1,0.3,0.4%
,"2005","2005","Male","M","65-74 years","65-74",2705,8683128,31.2,30.0,32.3,0.6,0.6%
,"2005","2005","Male","M","75-84 years","75-84",2779,5320967,52.2,50.3,54.2,1.0,0.6%
,"2005","2005","Male","M","85+ years","85+",932,1443844,64.5,60.4,68.7,2.1,0.2%
,"2005","2005","Male","M","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"2006","2006","Female","F","< 1 year","1",Suppressed,1975919,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2006","2006","Female","F","1-4 years","1-4",13,7775092,Unreliable,0.1,0.3,0.0,0.0%
,"2006","2006","Female","F","5-14 years","5-14",40,19817117,0.2,0.1,0.3,0.0,0.0%
,"2006","2006","Female","F","15-24 years","15-24",65,20836077,0.3,0.2,0.4,0.0,0.0%
,"2006","2006","Female","F","25-34 years","25-34",109,19626340,0.6,0.5,0.7,0.1,0.0%
,"2006","2006","Female","F","35-44 years","35-44",300,21727611,1.4,1.2,1.5,0.1,0.1%
,"2006","2006","Female","F","45-54 years","45-54",869,22011575,3.9,3.7,4.2,0.1,0.2%
,"2006","2006","Female","F","55-64 years","55-64",1714,16532054,10.4,9.9,10.9,0.3,0.4%
,"2006","2006","Female","F","65-74 years","65-74",2198,10350638,21.2,20.3,22.1,0.5,0.5%
,"2006","2006","Female","F","75-84 years","75-84",2150,7732685,27.8,26.6,29.0,0.6,0.5%
,"2006","2006","Female","F","85+ years","85+",983,3347539,29.4,27.5,31.2,0.9,0.2%
,"2006","2006","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2006","2006","Male","M","< 1 year","1",Suppressed,2065819,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2006","2006","Male","M","1-4 years","1-4",11,8122053,Unreliable,0.1,0.2,0.0,0.0%
,"2006","2006","Male","M","5-14 years","5-14",38,20760709,0.2,0.1,0.3,0.0,0.0%
,"2006","2006","Male","M","15-24 years","15-24",109,22007767,0.5,0.4,0.6,0.0,0.0%
,"2006","2006","Male","M","25-34 years","25-34",127,19768839,0.6,0.5,0.8,0.1,0.0%
,"2006","2006","Male","M","35-44 years","35-44",288,21516190,1.3,1.2,1.5,0.1,0.1%
,"2006","2006","Male","M","45-54 years","45-54",946,21274584,4.4,4.2,4.7,0.1,0.2%
,"2006","2006","Male","M","55-64 years","55-64",1987,15398059,12.9,12.3,13.5,0.3,0.4%
,"2006","2006","Male","M","65-74 years","65-74",2683,8852389,30.3,29.2,31.5,0.6,0.6%
,"2006","2006","Male","M","75-84 years","75-84",2736,5362466,51.0,49.1,52.9,1.0,0.6%
,"2006","2006","Male","M","85+ years","85+",967,1518390,63.7,59.7,67.7,2.0,0.2%
,"2006","2006","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2007","2007","Female","F","< 1 year","1",Suppressed,2027181,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2007","2007","Female","F","1-4 years","1-4",Suppressed,7813088,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2007","2007","Female","F","5-14 years","5-14",36,19810765,0.2,0.1,0.3,0.0,0.0%
,"2007","2007","Female","F","15-24 years","15-24",59,21001489,0.3,0.2,0.4,0.0,0.0%
,"2007","2007","Female","F","25-34 years","25-34",109,19788593,0.6,0.4,0.7,0.1,0.0%
,"2007","2007","Female","F","35-44 years","35-44",298,21502002,1.4,1.2,1.5,0.1,0.1%
,"2007","2007","Female","F","45-54 years","45-54",901,22337962,4.0,3.8,4.3,0.1,0.2%
,"2007","2007","Female","F","55-64 years","55-64",1727,17148671,10.1,9.6,10.5,0.2,0.4%
,"2007","2007","Female","F","65-74 years","65-74",2104,10595802,19.9,19.0,20.7,0.4,0.5%
,"2007","2007","Female","F","75-84 years","75-84",2116,7694491,27.5,26.3,28.7,0.6,0.5%
,"2007","2007","Female","F","85+ years","85+",1012,3446309,29.4,27.6,31.2,0.9,0.2%
,"2007","2007","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2007","2007","Male","M","< 1 year","1",Suppressed,2120816,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2007","2007","Male","M","1-4 years","1-4",14,8164877,Unreliable,0.1,0.3,0.0,0.0%
,"2007","2007","Male","M","5-14 years","5-14",34,20744888,0.2,0.1,0.2,0.0,0.0%
,"2007","2007","Male","M","15-24 years","15-24",85,22144326,0.4,0.3,0.5,0.0,0.0%
,"2007","2007","Male","M","25-34 years","25-34",115,19924870,0.6,0.5,0.7,0.1,0.0%
,"2007","2007","Male","M","35-44 years","35-44",262,21294228,1.2,1.1,1.4,0.1,0.1%
,"2007","2007","Male","M","45-54 years","45-54",920,21601977,4.3,4.0,4.5,0.1,0.2%
,"2007","2007","Male","M","55-64 years","55-64",2083,15979763,13.0,12.5,13.6,0.3,0.5%
,"2007","2007","Male","M","65-74 years","65-74",2772,9102925,30.5,29.3,31.6,0.6,0.6%
,"2007","2007","Male","M","75-84 years","75-84",2719,5392948,50.4,48.5,52.3,1.0,0.6%
,"2007","2007","Male","M","85+ years","85+",1044,1593236,65.5,61.6,69.5,2.0,0.2%
,"2007","2007","Male","M","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
