"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Male","M","2023","2023","75-84 years","75-84",411716,8162499,5044.0,5028.6,5059.4,7.9,1.9%
,"Male","M","2023","2023","85+ years","85+",350204,2283961,15333.2,15282.4,15384.0,25.9,1.6%
,"Male","M","2023","2023","Not Stated","NS",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Male","M","2023","2023",,,1617085,165749400,975.6,974.1,977.1,0.8,7.4%
,"Male","M","2024 ","2024","< 1 year","1",10901,1846708,590.3,579.2,601.4,5.7,0.0%
,"Male","M","2024 ","2024","1-4 years","1-4",2186,7654335,28.6,27.4,29.8,0.6,0.0%
,"Male","M","2024 ","2024","5-14 years","5-14",3401,21020790,16.2,15.6,16.7,0.3,0.0%
,"Male","M","2024 ","2024","15-24 years","15-24",21928,22913584,95.7,94.4,97.0,0.6,0.1%
,"Male","M","2024 ","2024","25-34 years","25-34",40651,23518451,172.8,171.2,174.5,0.9,0.2%
,"Male","M","2024 ","2024","35-44 years","35-44",64093,22955948,279.2,277.0,281.4,1.1,0.3%
,"Male","M","2024 ","2024","45-54 years","45-54",98643,20322445,485.4,482.4,488.4,1.5,0.4%
,"Male","M","2024 ","2024","55-64 years","55-64",217362,20415008,1064.7,1060.2,1069.2,2.3,1.0%
,"Male","M","2024 ","2024","65-74 years","65-74",361356,16699669,2163.9,2156.8,2170.9,3.6,1.6%
,"Male","M","2024 ","2024","75-84 years","75-84",424609,8576931,4950.6,4935.7,4965.5,7.6,1.9%
,"Male","M","2024 ","2024","85+ years","85+",354272,2414013,14675.6,14627.3,14724.0,24.7,1.6%
,"Male","M","2024 ","2024","Not Stated","NS",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Male","M","2024 ","2024",,,1599440,168337882,950.1,948.7,951.6,0.8,7.3%
"Total","Male","M",,,,,11476059,1148797782,999.0,998.4,999.5,0.3,52.2%
"Total",,,,,,,21985490,2325098265,945.6,945.2,946.0,0.2,100.0%
"---"
"Dataset: Multiple Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"Group By: Sex; Year; Ten-Year Age Groups"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-expanded.html for more information."
"---"
"Query Date: Aug 13, 2026 3:05:57 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10-expanded.html on Aug 13, 2026 3:05:57 PM"
"---"
Caveats:
"1. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Not Stated."
"2. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Confidence-Intervals."
"3. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Standard-Errors."
"4. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 27, 2024. The 2024 series is based on the Modified Blended Base produced"
