"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2007","2007","Male","M","15-24 years","15-24",25316,22144326,114.3,112.9,115.7,0.7,0.0%
,"2007","2007","Male","M","25-34 years","25-34",29792,19924870,149.5,147.8,151.2,0.9,0.1%
,"2007","2007","Male","M","35-44 years","35-44",50105,21294228,235.3,233.2,237.4,1.1,0.1%
,"2007","2007","Male","M","45-54 years","45-54",114456,21601977,529.8,526.8,532.9,1.6,0.2%
,"2007","2007","Male","M","55-64 years","55-64",173618,15979763,1086.5,1081.4,1091.6,2.6,0.3%
,"2007","2007","Male","M","65-74 years","65-74",218344,9102925,2398.6,2388.6,2408.7,5.1,0.4%
,"2007","2007","Male","M","75-84 years","75-84",320803,5392948,5948.6,5928.0,5969.1,10.5,0.6%
,"2007","2007","Male","M","85+ years","85+",248866,1593236,15620.2,15558.8,15681.5,31.3,0.4%
,"2007","2007","Male","M","Not Stated","NS",156,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2007","2007","Male","M",,,1203968,148064854,813.1,811.7,814.6,0.7,2.1%
"Total","2007","2007",,,,,2423712,301231207,804.6,803.6,805.6,0.5,4.3%
,"2008","2008","Female","F","< 1 year","1",12390,2022889,612.5,601.7,623.3,5.5,0.0%
,"2008","2008","Female","F","1-4 years","1-4",2037,7891294,25.8,24.7,26.9,0.6,0.0%
,"2008","2008","Female","F","5-14 years","5-14",2371,19856962,11.9,11.5,12.4,0.2,0.0%
,"2008","2008","Female","F","15-24 years","15-24",8171,21144714,38.6,37.8,39.5,0.4,0.0%
,"2008","2008","Female","F","25-34 years","25-34",12640,20019411,63.1,62.0,64.2,0.6,0.0%
,"2008","2008","Female","F","35-44 years","35-44",28684,21195733,135.3,133.8,136.9,0.8,0.1%
,"2008","2008","Female","F","45-54 years","45-54",71504,22597536,316.4,314.1,318.7,1.2,0.1%
,"2008","2008","Female","F","55-64 years","55-64",116632,17681763,659.6,655.8,663.4,1.9,0.2%
,"2008","2008","Female","F","65-74 years","65-74",176179,11004244,1601.0,1593.5,1608.5,3.8,0.3%
,"2008","2008","Female","F","75-84 years","75-84",331664,7656443,4331.8,4317.1,4346.6,7.5,0.6%
,"2008","2008","Female","F","85+ years","85+",483470,3533026,13684.3,13645.7,13722.9,19.7,0.9%
,"2008","2008","Female","F","Not Stated","NS",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2008","2008","Female","F",,,1245787,154604015,805.8,804.4,807.2,0.7,2.2%
,"2008","2008","Male","M","< 1 year","1",15669,2109846,742.7,731.0,754.3,5.9,0.0%
,"2008","2008","Male","M","1-4 years","1-4",2693,8247098,32.7,31.4,33.9,0.6,0.0%
