"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Male","M","2021","2021","85+ years","85+",22581,2175943,1037.8,1024.2,1051.3,6.9,1.4%
,"Male","M","2021","2021","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2022","2022","< 1 year","1",200,1882867,10.6,9.1,12.1,0.8,0.0%
,"Male","M","2022","2022","1-4 years","1-4",104,7592228,1.4,1.1,1.6,0.1,0.0%
,"Male","M","2022","2022","5-14 years","5-14",165,20933799,0.8,0.7,0.9,0.1,0.0%
,"Male","M","2022","2022","15-24 years","15-24",373,22684031,1.6,1.5,1.8,0.1,0.0%
,"Male","M","2022","2022","25-34 years","25-34",1612,23189562,7.0,6.6,7.3,0.2,0.1%
,"Male","M","2022","2022","35-44 years","35-44",3644,22120189,16.5,15.9,17.0,0.3,0.2%
,"Male","M","2022","2022","45-54 years","45-54",8120,20279630,40.0,39.2,40.9,0.4,0.5%
,"Male","M","2022","2022","55-64 years","55-64",20366,20671903,98.5,97.2,99.9,0.7,1.3%
,"Male","M","2022","2022","65-74 years","65-74",33195,15910672,208.6,206.4,210.9,1.1,2.1%
,"Male","M","2022","2022","75-84 years","75-84",34110,7734845,441.0,436.3,445.7,2.4,2.1%
,"Male","M","2022","2022","85+ years","85+",22920,2283827,1003.6,990.6,1016.6,6.6,1.4%
,"Male","M","2022","2022","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2023","2023","< 1 year","1",195,1864508,10.5,9.0,11.9,0.7,0.0%
,"Male","M","2023","2023","1-4 years","1-4",121,7594891,1.6,1.3,1.9,0.1,0.0%
,"Male","M","2023","2023","5-14 years","5-14",180,20972638,0.9,0.7,1.0,0.1,0.0%
,"Male","M","2023","2023","15-24 years","15-24",417,22423446,1.9,1.7,2.0,0.1,0.0%
,"Male","M","2023","2023","25-34 years","25-34",1406,23059187,6.1,5.8,6.4,0.2,0.1%
,"Male","M","2023","2023","35-44 years","35-44",3222,22362236,14.4,13.9,14.9,0.3,0.2%
,"Male","M","2023","2023","45-54 years","45-54",6909,20187109,34.2,33.4,35.0,0.4,0.4%
,"Male","M","2023","2023","55-64 years","55-64",17662,20503845,86.1,84.9,87.4,0.6,1.1%
,"Male","M","2023","2023","65-74 years","65-74",30042,16335080,183.9,181.8,186.0,1.1,1.9%
,"Male","M","2023","2023","75-84 years","75-84",32822,8162499,402.1,397.8,406.5,2.2,2.1%
,"Male","M","2023","2023","85+ years","85+",22119,2283961,968.4,955.7,981.2,6.5,1.4%
,"Male","M","2023","2023","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2024 ","2024","< 1 year","1",181,1846708,9.8,8.4,11.2,0.7,0.0%
